Date,Symbol,Open,High,Low,Close,Volume,Price,Log_Volume,Volatility of Intraday Price,7D_EWMA_Intraday_Price_Volatility,Return,Lagged_Return,σ_Rt,Amihud,σ_LIQt,Log_Cap,Datetime,BitcoinDominance,RegSin,RegEU,Year_x,Month_x,European_News_Index,Year_y,Month_y,SEPU
2017-11-06,BNBUSDT,1.5,1.799,0.5,1.571,120615.34,,11.700361752532926,1.220854526700686,1.220854526700686,,,,0.0,,18.847412132794542,2017-11-06,65.07751286720548,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-07,BNBUSDT,1.571,1.8,1.5389,1.8,134129.73,0.5872309549683961,11.80656274492162,0.15671878941445008,0.9548205923791271,0.13607430562863504,,,0.011525310843510736,,18.932758944970168,2017-11-07,64.6350225607504,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-08,BNBUSDT,1.7901,1.99,1.7479,1.9889,347290.26,0.5877866649021191,12.75791619342096,0.1296687186189826,0.7485326239390909,0.0997950571849446,0.13607430562863504,,0.007822206673250228,,19.081326332330658,2017-11-08,64.55743946015899,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-09,BNBUSDT,1.9781,2.1997,1.9,1.99,287037.2,0.688134638736401,12.567367103066974,0.13197278089743464,0.5943926631786769,0.0005529166493372723,0.0997950571849446,,4.399622011537619e-05,,19.125868792464203,2017-11-09,63.29162858873305,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-10,BNBUSDT,1.99,2.02,1.6019,1.7133,484658.9,0.7883209874295406,13.091200623519809,0.1343702097755896,0.4793870498279051,-0.14971330337961117,0.0005529166493372723,,0.011436178215054962,,19.044232633664002,2017-11-10,61.205543086573606,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-11,BNBUSDT,1.79,1.925,1.58,1.655,258838.37,0.7030975114131134,12.46395909182484,0.14194256678029868,0.3950259290660035,-0.03462032652776365,-0.14971330337961117,,0.002777634800684741,0.005372213805129037,18.96826287500409,2017-11-11,58.039926277111135,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-12,BNBUSDT,1.6567,1.7,1.34,1.49,457159.72,0.6549259677397475,13.032788105534314,0.1692655336797346,0.3385858302194363,-0.10502488887165852,-0.03462032652776365,0.11193873538898186,0.008058512731213682,0.0046508087658353615,18.871547842125537,2017-11-12,54.01530414185204,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-13,BNBUSDT,1.5,1.7381,1.5,1.68,166770.73,0.5306282510621704,12.024375273892128,0.14732745447913284,0.2907712362843604,0.12001767345779972,-0.10502488887165852,0.10790100328092417,0.009981198251387543,0.004381525118510194,18.901326924504307,2017-11-13,55.67098370919383,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-14,BNBUSDT,1.6801,1.7381,1.5321,1.5911,177246.45,0.5527925625872971,12.085296415985063,0.08812471950982531,0.24010960709072665,-0.05436819248349373,0.12001767345779972,0.09349175340995791,0.004498705750533486,0.004419169335117519,18.912107462031774,2017-11-14,56.71847501368716,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-15,BNBUSDT,1.5721,1.6794,1.49,1.5532,297638.34,0.5527925625872971,12.60363440428828,0.1006409846549005,0.20524245148177012,-0.024108282056298596,-0.05436819248349373,0.0920311342857003,0.00191280398042139,0.003944576196278699,18.857929980183094,2017-11-15,57.84547080732118,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-16,BNBUSDT,1.5533,1.6699,1.511,1.5599,198029.66,0.5184365867673257,12.196172096437873,0.0900944490990895,0.17645545088609996,0.0043043977673107945,-0.024108282056298596,0.07579218818088296,0.00035293022542441627,0.003728496994819579,18.884420143049105,2017-11-16,60.68781430485992,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-17,BNBUSDT,1.5599,1.5765,1.49,1.5041,419446.58,0.5127637443962496,12.94669145470681,0.03208038749901213,0.140361685039328,-0.03642700396365536,0.0043043977673107945,0.07588623852804427,0.002813614898531641,0.0037250129852663717,18.83646076500053,2017-11-17,61.307686561674245,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-18,BNBUSDT,1.5041,1.6699,1.492,1.6699,172099.86,0.4552072000029785,12.055830168718765,0.11264624261468048,0.13343282443316612,0.1045690317172191,-0.03642700396365536,0.07490788831335753,0.008673731319519092,0.0038456692432905586,18.865542778098472,2017-11-18,59.60103250163914,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-19,BNBUSDT,1.6524,1.6948,1.575,1.6,179701.62,0.5127637443962496,12.099053087756056,0.05111623854446314,0.11285367796099037,-0.04276011515051401,0.1045690317172191,0.05873487419052553,0.0035341703884071885,0.00284806902361999,18.901658359814526,2017-11-19,59.68059040168454,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-20,BNBUSDT,1.6,1.6522,1.5605,1.64,159737.16,0.5275647397702672,11.981284993422637,0.055455459815082105,0.0985041234245133,0.024692612590371414,-0.04276011515051401,0.0550395858692985,0.0020609319120550853,0.0028732975540264336,18.884879887883663,2017-11-20,60.032667288652824,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-21,BNBUSDT,1.6257,1.6419,1.54,1.5874,413447.37,0.5021077331462678,12.932285506022328,0.04771848629405615,0.08580771414189901,-0.03259878416146896,0.024692612590371414,0.05603910730468097,0.002520728771901015,0.002828148036050825,18.87620237096908,2017-11-21,59.96734121202494,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-22,BNBUSDT,1.5728,1.6211,1.5556,1.6158,196457.62,0.49585410783584505,12.188202012730152,0.04080472588917709,0.07455696707871853,0.017732732388833043,-0.03259878416146896,0.0563387717348269,0.0014549096224621009,0.0026249384485551343,18.884981202752762,2017-11-22,59.58158391596583,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-23,BNBUSDT,1.6,1.618,1.5388,1.57,184458.49,0.48310493116539044,12.125179730699607,0.0366648743798208,0.06508394390399411,-0.028754570703254375,0.017732732388833043,0.055263602479947924,0.0023714758330922714,0.0026544276691427126,18.87201276563832,2017-11-23,57.699725932401556,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-24,BNBUSDT,1.5644,1.8187,1.54,1.7292,644218.58,0.48119081863630003,13.375793357437855,0.16393769163960817,0.08979738083789762,0.09658325445112291,-0.028754570703254375,0.05247378099245291,0.00722074959369913,0.002086554422499048,18.919548714816404,2017-11-24,56.13121251443899,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-25,BNBUSDT,1.712,1.9588,1.68,1.87,475443.08,0.5981219601508352,13.072002448229217,0.15066059976787857,0.10501318557039285,0.07827955705515566,0.09658325445112291,0.05332369957161153,0.005988337086469848,0.00238571473802895,19.016811039153726,2017-11-25,56.200630940581206,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-26,BNBUSDT,1.85,1.91,1.76,1.8388,193666.26,0.6723320408460253,12.173891647335852,0.06924505527842129,0.09607115299739996,-0.016825245916559418,0.07827955705515566,0.05614478790495879,0.0013820762007719588,0.0024873961826563703,19.042493442353027,2017-11-26,57.6511099728577,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-27,BNBUSDT,1.8388,1.9532,1.74,1.9532,480695.73,0.6471032420585384,13.082989770963465,0.11558393997893053,0.10094934974278261,0.06035586825543235,-0.016825245916559418,0.051683741843930965,0.004613308525959934,0.002471008738815833,19.048001565810605,2017-11-27,58.09884775644851,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-28,BNBUSDT,1.945,1.9532,1.801,1.9249,359515.94,0.6694690532053682,12.7925137945205,0.07388463467033055,0.09418317097466959,-0.014595034866915471,0.06035586825543235,0.05534446777961267,0.0011409043680818275,0.002534107016026106,19.064501520749143,2017-11-28,59.19187785160552,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-29,BNBUSDT,1.9248,2.0486,1.55,1.7565,935739.25,0.6694690532053682,13.749092137589546,0.21088122711317123,0.123357685009295,-0.09155082561470806,-0.014595034866915471,0.07193967322506073,0.0066586815113713034,0.0026568906587489055,19.041497576668785,2017-11-29,60.07756692180526,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-11-30,BNBUSDT,1.7641,2.038,1.71,1.95,748118.06,0.7171566330202972,13.525316078726702,0.17151340060490344,0.13539661390819713,0.1045061798519108,-0.09155082561470806,0.073706030053135,0.007726708880118771,0.002766266857493595,19.04148139206501,2017-11-30,60.219877084319144,0,0,7.6093665379542115,2.3978952727983707,5.438079308923196,7.6093665379542115,2.3978952727983707,5.050694169995549
2017-12-01,BNBUSDT,1.95,2.1385,1.8801,2.0527,321456.28,0.711968934800533,12.680616825854344,0.12283892031473274,0.13225719050983104,0.051326627165340845,0.1045061798519108,0.07018290419390193,0.004047644359120737,0.002681523960415669,19.114699914881317,2017-12-01,60.08520175052247,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
