Date,Symbol,Open,High,Low,Close,Volume,Price,Log_Volume,Volatility of Intraday Price,7D_EWMA_Intraday_Price_Volatility,Return,Lagged_Return,σ_Rt,Amihud,σ_LIQt,Log_Cap,Datetime,BitcoinDominance,RegSin,RegEU,Year_x,Month_x,European_News_Index,Year_y,Month_y,SEPU
2019-07-05,DOGEUSDT,0.00449,0.0046,0.00355,0.0038701,1928297660.0,,21.379903409184973,0.16294589673842533,0.16294589673842533,,,,0.0,,20.03917983441184,2019-07-05,64.68770592087671,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-06,DOGEUSDT,0.0038741,0.0039426,0.0033652,0.0035,1010744287.0,-5.381698975487088,20.733952814230744,0.09113988298633588,0.14499439330040298,-0.1005173780057624,,,0.004847960198731248,,19.92421092289821,2019-07-06,64.72220906417722,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-07,DOGEUSDT,0.003504,0.00365,0.0034,0.0035377,530613992.0,-5.535914874832397,20.08954536946723,0.06397330142795982,0.12473912033229219,0.010713829978299635,-0.1005173780057624,,0.0005333037548267705,,19.863786567351625,2019-07-07,64.66534958632135,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-08,DOGEUSDT,0.0035378,0.0035618,0.0034,0.003458,308445688.0,-5.613028111387737,19.547056333946912,0.031406154862319194,0.10140587896479894,-0.022786411212569,0.010713829978299635,,0.0011657208545000394,,19.876454861633572,2019-07-08,65.2153898039061,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-09,DOGEUSDT,0.003462,0.003582,0.0033564,0.0034545,253375582.0,-5.637489243922369,19.350383459724426,0.05575904555970611,0.08999417061352573,-0.001012658314386269,-0.022786411212569,,5.2332725937653875e-05,,19.85427655557819,2019-07-09,66.30688620351148,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-10,DOGEUSDT,0.0034576,0.0035294,0.003251,0.0033421,241274866.0,-5.631833975343617,19.301447364374457,0.0582366869118306,0.08205479968810195,-0.03307837701889665,-0.001012658314386269,,0.0017137770237868734,0.0018203232116505617,19.83020314753017,2019-07-10,67.18313010803865,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-11,DOGEUSDT,0.0033358,0.0033395,0.0030909,0.003209,202811394.0,-5.646627394155141,19.127787011535023,0.05426707685584276,0.07510786898003716,-0.04063998980009613,-0.03307837701889665,0.039080356650077135,0.0021246571689442256,0.0016995409809449228,19.787068574770185,2019-07-11,67.52984184424199,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-12,DOGEUSDT,0.0032105,0.0033598,0.0031562,0.0032622,228622573.0,-5.701934183798583,19.247583048981998,0.05835215120611564,0.07091893953655679,0.01644245227007306,-0.04063998980009613,0.023774182909618264,0.0008542606221378377,0.0007623712591820463,19.779750163182047,2019-07-12,67.58141804635044,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-13,DOGEUSDT,0.0032626,0.0032653,0.0031358,0.0032532,110731940.0,-5.695873830588161,18.522622883614737,0.03860620813356006,0.0628407566858076,-0.0027626870873098263,0.01644245227007306,0.021783302330995673,0.00014915204529449886,0.0008299942468608826,19.790513519092016,2019-07-13,67.54056578187024,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
2019-07-14,DOGEUSDT,0.0032474,0.0032788,0.0029008,0.0029175,216658454.0,-5.7244036368606945,19.193832726852065,0.042739105112267216,0.05781534379242251,-0.10891204213190904,-0.0027626870873098263,0.04488216913093818,0.005674324856418161,0.002087503816255239,19.75616096034919,2019-07-14,67.7835663904129,0,0,7.610357618312838,1.9459101490553132,5.438079308923196,7.610357618312838,1.9459101490553132,5.676954346541496
